,id,year,week,inventory_doc,material,designation,type,unit,division,store,supplier,theoritical_quantity,entred_quantity,deviation,deviation_cost,dev,date_catchment,corrected_by,catchment,delete,refecrence_inventory,inventory_number,Tys,company,currency,rate,deviation_cost_euro,week_date_cpt,year_date_cpt,percent_gap,stock_accuracy
216,714275,2022,33,100800747,IS0007245S,ASNE0242A28A0,CA,U,2110,2001,,197.00,138.00,-59.00,0.00,TND,2022-08-18,,X,,QTY_GAP,,1,LTN1,TND,3.3,0.0,33,2022,-29.949238578680205,True
217,714332,2022,33,100800749,IS0007248S,ASNE0245115B0,CA,U,2110,2001,,326.00,326.00,0.00,0.00,TND,2022-08-18,,X,,,,1,LTN1,TND,3.3,0.0,33,2022,0.0,True
218,714830,2022,33,100800751,IS0007270S,ASNE0250A0S,CA,U,2110,2001,,1136.00,1305.00,169.00,0.00,TND,2022-08-18,,X,,QTY_GAP,,1,LTN1,TND,3.3,0.0,33,2022,14.876760563380282,False
219,715581,2022,33,100808807,IS0007397S,ASNE0389V15,CA,M,2300,2001,,150.00,150.00,0.00,0.00,EUR,2022-08-16,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
220,715790,2022,33,100800758,IS0007420S,ASNE0432A06,CA,M,2110,2001,,5800.00,4200.00,-1600.00,0.00,TND,2022-08-18,,X,,QTY_GAP,,1,LTN1,TND,3.3,0.0,33,2022,-27.586206896551722,True
221,715812,2022,33,100800759,IS0007421S,ASNE0432A09,CA,M,2110,2001,,6600.00,5400.00,-1200.00,0.00,TND,2022-08-18,,X,,QTY_GAP,,1,LTN1,TND,3.3,0.0,33,2022,-18.181818181818183,True
222,715957,2022,33,100808784,IS0007438S,ASNE0444SE0803SNA,CA,U,2300,2001,,131.00,131.00,0.00,0.00,EUR,2022-08-15,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
223,716578,2022,33,100800760,IS0007513S,ASNE0519E1000ZUV,CA,U,2110,2001,,0.00,0.00,0.00,0.00,TND,2022-08-18,,X,,,,1,LTN1,TND,3.3,0.0,33,2022,100.0,False
224,716642,2022,33,100808807,IS0007531S,ASNE0546DZ2002,CA,U,2300,2001,,186.00,186.00,0.00,0.00,EUR,2022-08-16,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
225,717413,2022,33,100800763,IS0007664S,ASNE0680P00,CA,U,2110,2001,,12784.00,14527.00,1743.00,0.00,TND,2022-08-18,,X,,QTY_GAP,,1,LTN1,TND,3.3,0.0,33,2022,13.634230287859825,False
226,717467,2022,33,100808784,IS0007670S,ASNE0685LE2200,CA,U,2300,2001,,0.00,0.00,0.00,0.00,EUR,2022-08-15,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,100.0,False
